global-update-round,test-loss,test-accuracy,train-loss,train-accuracy
35,1.8424664096444159,0.5824643449704702,1.853761083824234,0.5811225162336732
36,1.834093575894781,0.5850605641188759,1.8453041302022508,0.5835783428758102
37,1.8278249307703298,0.5866681567703722,1.8388470052824921,0.5858536361708591
38,1.823341448924815,0.5887313772856615,1.8340926003180233,0.5880014098794725
39,1.8140491109678,0.5905882757494219,1.8248235093601224,0.5900560513058579
40,1.803793632704285,0.5928578183162401,1.814469020533906,0.5923270461878808
41,1.8077161142947684,0.5948350713100591,1.8182589487650898,0.5937942378340584
42,1.7984825323105236,0.5965458249873198,1.8087006230455234,0.5957686422172934
43,1.7921498251429848,0.5989615123406377,1.802319144722747,0.597808955600259
44,1.7863954384508143,0.6008527978129863,1.7963844252048904,0.599691660505608
45,1.7828044132340133,0.6024517937123355,1.792767225116081,0.6014081601072884
46,1.7797628815110995,0.6038444675601558,1.7897781562102284,0.6028395316449167
47,1.7731196287404436,0.6054348667073579,1.7829581582212757,0.6045631952683069
48,1.7651683811013181,0.6071886041453539,1.7749573276822117,0.6061879953921012
49,1.7620316149264619,0.6079107313257052,1.7718016259663412,0.6072568674312111
50,1.76662746176372,0.608993922096232,1.7764695296865782,0.6082641288836161
51,1.7491641757353447,0.6122434944078128,1.7591542599300036,0.6110609629591421
52,1.751127423327045,0.6123724456900184,1.7609904927810531,0.6117057249130288
53,1.7548786216882692,0.6130859761182226,1.764803778864704,0.6124765736490088
54,1.74397499716282,0.6148397135562185,1.75391467790267,0.6140512256208341
55,1.7485834054164844,0.6154242927022171,1.758502544657713,0.6149166394433841
56,1.744132218321917,0.617401545696036,1.7542994338356022,0.6163623390244322
57,1.7402315913135176,0.6186308812530626,1.7499885272459947,0.6176404004974697
58,1.7315758110034516,0.6196281045021191,1.7413639065695756,0.6189155963618233
59,1.7315758110034516,0.6196281045021191,1.7413639065695756,0.6189155963618233
60,1.7315993073846974,0.6206769082640579,1.7417198543157566,0.6200059604660626
61,1.7277861632432396,0.6220867756161722,1.7378346344842595,0.6211608007656907
62,1.725931437579201,0.6225510002321123,1.736292074697406,0.6218557108715462
63,1.7258225075629172,0.6233590949339339,1.7359345661398422,0.6230148495842002
64,1.7171538260905332,0.6252675739105766,1.727412622731113,0.6244519523391964
65,1.7171538260905332,0.6252675739105766,1.727412622731113,0.6244519523391964
