global-update-round,test-loss,test-accuracy
127,0.33612931698560716,0.9007
128,0.33653351722955704,0.9005
129,0.3351699551105499,0.9011
130,0.3336646940469742,0.9008
131,0.3336646940469742,0.9008
132,0.3339103459596634,0.9018
133,0.33356776300668717,0.9018
134,0.3329878841161728,0.9034
135,0.3317592535018921,0.9041
136,0.33142818593978884,0.903
137,0.33200279750823974,0.9022
138,0.3315722889661789,0.9032
139,0.3318605192542076,0.9035
140,0.3316920114040375,0.9042
141,0.3317913169622421,0.9037
142,0.33126298472881316,0.904
143,0.3299946868181229,0.9038
144,0.33079037935733796,0.903
145,0.32955992473363876,0.9034
146,0.329177857530117,0.9047
147,0.329177857530117,0.9047
148,0.33076502475738523,0.9053
149,0.3308345066905022,0.9051
150,0.32976487929821013,0.9067
151,0.3294677240729332,0.9064
152,0.3285702290177345,0.9068
153,0.32877575268745424,0.9059
154,0.329361820936203,0.9055
155,0.3288855382919312,0.9048
156,0.3292866799116135,0.9056
157,0.32931597665548323,0.9056
158,0.32915658081769944,0.9055
159,0.32741633759737016,0.9057
160,0.32840081651210784,0.9053
161,0.32837398278713226,0.9054
162,0.32763937240839003,0.9052
163,0.3274173860192299,0.9056
164,0.32720793499946593,0.9057
165,0.3257441012620926,0.9067
166,0.3247458031654358,0.9061
167,0.32476571097373963,0.9057
168,0.3243427371740341,0.9074
169,0.3243427371740341,0.9074
170,0.3236085711240768,0.9062
171,0.3237577968478203,0.9067
172,0.32290822083950044,0.9065
173,0.3230607914686203,0.9072
174,0.3225060933351517,0.907
175,0.322401014316082,0.908
176,0.322401014316082,0.908
177,0.3222207818984985,0.907
178,0.32280335389375686,0.9064
179,0.3226095037460327,0.9075
180,0.3222125789523125,0.9089
181,0.3220339444875717,0.9085
182,0.32133181204795835,0.9085
183,0.321721780192852,0.9081
184,0.3217568878889084,0.9083
185,0.3217499185323715,0.9085
186,0.32140099548101425,0.9092
187,0.3210583089351654,0.9089
188,0.3218531331062317,0.9089
189,0.3208814768791199,0.9083
190,0.3211105485200882,0.9083
191,0.3204835600495338,0.9084
192,0.32122539732456207,0.9079
193,0.3222629546523094,0.909
194,0.32210846720933917,0.9082
195,0.32134678324460986,0.9084
196,0.32047031635046,0.9096
197,0.3204701114177704,0.9084
198,0.3205476296067238,0.9075
199,0.3214832950234413,0.9086
200,0.321926269197464,0.9074
